AttackNoise,DomainFetched,AttackCoverage,AttackRuntime (msec),AttackSpeed (domain per msec)
0.033801994927753154,5,0.020161290322580645,765,0.006535947712418301
0.03458109583156854,5,0.020161290322580645,94,0.05319148936170213
0.03615484073940489,5,0.020161290322580645,1216,0.004111842105263158
0.03655033436697197,5,0.020161290322580645,569,0.008787346221441126
0.036749939039419144,5,0.020161290322580645,623,0.008025682182985553
0.03698610296321836,7,0.028225806451612902,795,0.00880503144654088
0.03756678485626652,7,0.028225806451612902,1235,0.005668016194331984
0.03757976853015954,5,0.020161290322580645,919,0.00544069640914037
0.03772522521099486,5,0.020161290322580645,1213,0.004122011541632316
0.03776856205218182,5,0.020161290322580645,506,0.009881422924901186
0.03784094069479649,5,0.020161290322580645,706,0.007082152974504249
0.03807806861387619,5,0.020161290322580645,116,0.04310344827586207
0.038083357568827414,5,0.020161290322580645,875,0.005714285714285714
