TotalSuspiciousRecords,DomainFetched,AttackCoverage,AttackRuntime (msec),AttackSpeed (domain per msec)
10,20,0.08064516129032258,27,0.7407407407407407
10,18,0.07258064516129033,24,0.75
10,66,0.2661290322580645,30,2.2
10,27,0.10887096774193548,36,0.75
10,35,0.14112903225806453,21,1.6666666666666667
10,10,0.04032258064516129,6,1.6666666666666667
10,48,0.1935483870967742,24,2.0
10,54,0.21774193548387097,27,2.0
10,83,0.3346774193548387,38,2.1842105263157894
10,15,0.06048387096774194,21,0.7142857142857143
10,9,0.036290322580645164,6,1.5
10,68,0.27419354838709675,59,1.152542372881356
10,29,0.11693548387096774,41,0.7073170731707317
10,76,0.3064516129032258,39,1.9487179487179487
10,18,0.07258064516129033,16,1.125
10,49,0.1975806451612903,55,0.8909090909090909
10,30,0.12096774193548387,37,0.8108108108108109
10,43,0.17338709677419356,55,0.7818181818181819
10,6,0.024193548387096774,5,1.2
10,20,0.08064516129032258,16,1.25
10,137,0.5524193548387096,97,1.4123711340206186
10,36,0.14516129032258066,45,0.8
10,9,0.036290322580645164,6,1.5
10,34,0.13709677419354838,31,1.096774193548387
10,38,0.1532258064516129,20,1.9
10,10,0.04032258064516129,6,1.6666666666666667
10,33,0.13306451612903225,16,2.0625
10,42,0.1693548387096774,46,0.9130434782608695
10,13,0.05241935483870968,9,1.4444444444444444
10,26,0.10483870967741936,21,1.2380952380952381
10,14,0.056451612903225805,10,1.4
10,9,0.036290322580645164,14,0.6428571428571429
10,65,0.2620967741935484,49,1.3265306122448979
10,52,0.20967741935483872,58,0.896551724137931
10,32,0.12903225806451613,17,1.8823529411764706
10,16,0.06451612903225806,18,0.8888888888888888
10,67,0.2701612903225806,64,1.046875
10,9,0.036290322580645164,13,0.6923076923076923
10,53,0.21370967741935484,55,0.9636363636363636
10,95,0.38306451612903225,82,1.1585365853658536
10,18,0.07258064516129033,18,1.0
10,12,0.04838709677419355,9,1.3333333333333333
10,39,0.15725806451612903,44,0.8863636363636364
10,17,0.06854838709677419,23,0.7391304347826086
10,45,0.1814516129032258,27,1.6666666666666667
10,23,0.09274193548387097,33,0.696969696969697
10,10,0.04032258064516129,13,0.7692307692307693
10,71,0.2862903225806452,72,0.9861111111111112
10,39,0.15725806451612903,22,1.7727272727272727
10,25,0.10080645161290322,13,1.9230769230769231
10,12,0.04838709677419355,17,0.7058823529411765
10,60,0.24193548387096775,34,1.7647058823529411
10,40,0.16129032258064516,19,2.1052631578947367
11,49,0.1975806451612903,26,1.8846153846153846
11,112,0.45161290322580644,67,1.671641791044776
11,14,0.056451612903225805,19,0.7368421052631579
11,80,0.3225806451612903,45,1.7777777777777777
11,243,0.9798387096774194,158,1.5379746835443038
11,87,0.35080645161290325,54,1.6111111111111112
11,21,0.0846774193548387,11,1.9090909090909092
11,7,0.028225806451612902,4,1.75
11,12,0.04838709677419355,15,0.8
11,48,0.1935483870967742,54,0.8888888888888888
11,21,0.0846774193548387,12,1.75
11,29,0.11693548387096774,17,1.7058823529411764
11,16,0.06451612903225806,10,1.6
11,83,0.3346774193548387,114,0.7280701754385965
11,49,0.1975806451612903,53,0.9245283018867925
11,122,0.49193548387096775,70,1.7428571428571429
11,62,0.25,26,2.3846153846153846
11,20,0.08064516129032258,11,1.8181818181818181
11,5,0.020161290322580645,6,0.8333333333333334
11,79,0.3185483870967742,85,0.9294117647058824
11,27,0.10887096774193548,36,0.75
11,161,0.6491935483870968,64,2.515625
11,30,0.12096774193548387,14,2.142857142857143
11,54,0.21774193548387097,38,1.4210526315789473
11,24,0.0967741935483871,32,0.75
11,35,0.14112903225806453,23,1.5217391304347827
11,70,0.28225806451612906,57,1.2280701754385965
11,70,0.28225806451612906,32,2.1875
11,12,0.04838709677419355,16,0.75
11,41,0.16532258064516128,36,1.1388888888888888
11,22,0.08870967741935484,29,0.7586206896551724
11,15,0.06048387096774194,21,0.7142857142857143
11,24,0.0967741935483871,21,1.1428571428571428
11,223,0.8991935483870968,111,2.009009009009009
11,31,0.125,15,2.066666666666667
11,31,0.125,33,0.9393939393939394
11,22,0.08870967741935484,30,0.7333333333333333
